k (h/Mpc),x,omega_b,omega_m,T(k),log10(T(k))
0.10740580024816988,0.9318027783242038,0.0214,0.13666666666666666,0.11255301168230493,-0.9486428796993828
0.11108842386112598,0.9637515083382822,0.0214,0.13666666666666666,0.10871910531738752,-0.9636941302023504
0.11487654144003816,0.9966154549453861,0.0214,0.13666666666666666,0.1052959282339935,-0.977588422543844
0.11877630934261861,1.0304480278422667,0.0214,0.13666666666666666,0.10210329295699859,-0.9909602511550885
0.12279381309278438,1.0653020222046072,0.0214,0.13666666666666666,0.0989523722352929,-1.0045737897713996
0.1269350924016661,1.1012298357576584,0.0214,0.13666666666666666,0.09566853584251399,-1.0192308726390578
0.1312061600130655,1.1382836322706666,0.0214,0.13666666666666666,0.09213498543511274,-1.0355754284749534
0.1356130160202736,1.1765154657629289,0.0214,0.13666666666666666,0.08829529020913908,-1.0540624616629073
0.14016165901162242,1.2159773771974185,0.0214,0.13666666666666666,0.08419405758797671,-1.0747185598996807
0.1448580952114914,1.2567214737839048,0.0214,0.13666666666666666,0.07995409930265787,-1.0971592647647201
0.14970834665978644,1.2987999999403104,0.0214,0.13666666666666666,0.07575871328560378,-1.120567410162486
0.15471845939411555,1.342265408277463,0.0214,0.13666666666666666,0.07180614721734066,-1.143838374862265
0.15989451254953832,1.3871704385442887,0.0214,0.13666666666666666,0.0682718673187745,-1.1657582185025168
0.16524262926001268,1.4335682122036961,0.0214,0.13666666666666666,0.06524514948159887,-1.1854517695326356
0.1707689902260878,1.4815123501395704,0.0214,0.13666666666666666,0.06270708861779423,-1.2026833623019604
0.17647985080037623,1.531057120882385,0.0214,0.13666666666666666,0.06052460850806141,-1.218068011028543
0.18238156243369105,1.5822576266659145,0.0214,0.13666666666666666,0.05850221843966137,-1.2328276648949867
0.18848059932052658,1.6351700345910347,0.0214,0.13666666666666666,0.05642902132211614,-1.2484974818598593
0.19478359108504145,1.6898518601941135,0.0214,0.13666666666666666,0.05413589814578592,-1.2665146536290048
0.20129736236225612,1.7463623108350734,0.0214,0.13666666666666666,0.05159316779383912,-1.2874078058512908
0.20802898016032906,1.8047626965904777,0.0214,0.13666666666666666,0.04891756438104528,-1.3105351747388816
0.21498580994719954,1.8651169168351611,0.0214,0.13666666666666666,0.04630491023440416,-1.3343729533743436
0.22217558149951006,1.9274920315168602,0.0214,0.13666666666666666,0.04393472514134253,-1.357192086230323
0.229606465696931,1.9919589273880656,0.0214,0.13666666666666666,0.04190540693725334,-1.3777299376180585
0.23728716365707178,2.0585930912990613,0.0214,0.13666666666666666,0.04019450164815076,-1.3958333515718797
0.24522700990496835,2.1274755052484244,0.0214,0.13666666666666666,0.03865503807443357,-1.41279389462189
0.25343609168141823,2.198693681446659,0.0214,0.13666666666666666,0.03709977702285166,-1.430628700574607
0.261925387047685,2.272342860448395,0.0214,0.13666666666666666,0.03541949341212023,-1.450757654605405
0.27070692518142714,2.3485274018053253,0.0214,0.13666666666666666,0.033630473136180665,-1.4732670226946707
0.2797939732351621,2.4273624051633496,0.0214,0.13666666666666666,0.031864233891787,-1.496696518752267
0.28920125541939207,2.5089756109259,0.0214,0.13666666666666666,0.030266988397897855,-1.5190307897220665
0.29894521168249044,2.593509644440345,0.0214,0.13666666666666666,0.028884761033513486,-1.5393312210689334
0.30904430563670243,2.681124687420785,0.0214,0.13666666666666666,0.02763722774636353,-1.5585055226161921
0.31951939443654215,2.7720016868410253,0.0214,0.13666666666666666,0.02640085312483298,-1.5783820389854366
0.3303941774608489,2.86634624749146,0.0214,0.13666666666666666,0.025107309181006836,-1.6001998293205202
0.3416957463366711,2.9643934037305186,0.0214,0.13666666666666666,0.02380452122930717,-1.623340548890624
0.35345526674934685,3.0664135345518817,0.0214,0.13666666666666666,0.022583049935625033,-1.646217405158451
0.36570883363525464,3.1727197828391094,0.0214,0.13666666666666666,0.021484344715789132,-1.667877887996221
0.37849855733393184,3.2836774783163554,0.0214,0.13666666666666666,0.02045251443094918,-1.6892532922357013
0.39187396156867454,3.399716265777975,0.0214,0.13666666666666666,0.01941854460638706,-1.711783322991396
0.4058938087092925,3.521345940219426,0.0214,0.13666666666666666,0.0183829132715059,-1.735585661748604
0.4206285201682028,3.649177445068272,0.0214,0.13666666666666666,0.017395691905134198,-1.7595582927223268
0.4361634409411283,3.7839511938212405,0.0214,0.13666666666666666,0.016471696309685372,-1.7832616734470725
0.4526033261182063,3.9265759929283375,0.0214,0.13666666666666666,0.015578489292866982,-1.8074746598587372
0.4700786372475054,4.078183666114854,0.0214,0.13666666666666666,0.014688728765541613,-1.8330157885528398
0.48875458946501105,4.240207543074128,0.0214,0.13666666666666666,0.013824036821688104,-1.8593651180773738
0.5088445040671175,4.414498300177422,0.0214,0.13666666666666666,0.012995188267839453,-1.8862174242744334
0.5306301298010873,4.603500258540376,0.0214,0.13666666666666666,0.012174366254298059,-1.9145536370476088
0.5544936871180186,4.810529385060891,0.0214,0.13666666666666666,0.01136308327097003,-1.9445038107127839
0.580970532394918,5.040230182720515,0.0214,0.13666666666666666,0.01056433568509608,-1.9761578074018176
0.6108400190719588,5.2993639595600825,0.0214,0.13666666666666666,0.009760815068597143,-2.0105139154261042
0.6452915013257479,5.598248999355824,0.0214,0.13666666666666666,0.008950146923007581,-2.048169835373727
0.6862487231570854,5.95357481050103,0.0214,0.13666666666666666,0.00811569040839599,-2.0906745284807022
0.7370542427040625,6.39433987308325,0.0214,0.13666666666666666,0.007240627393840266,-2.1402238009468215
0.8040301488285513,6.975391690241914,0.0214,0.13666666666666666,0.006295979937192999,-2.200936664572158
0.90016704028518,7.80943065603106,0.0214,0.13666666666666666,0.00524367685445127,-2.2803640798829576
1.052026334953119,9.126891280680615,0.0214,0.13666666666666666,0.00406445680194179,-2.390997487876217
1.2940473923062727,11.226553432385247,0.0214,0.13666666666666666,0.002886573348814674,-2.539617402454025
1.6262769583266938,14.108822657547952,0.0214,0.13666666666666666,0.001969319426252362,-2.705683835000799
1.0444913841319857e-05,8.56608570911962e-05,0.0214,0.14333333333333334,1.0,0.0
1.31493674588382e-05,0.00010784062978817549,0.0214,0.14333333333333334,0.9999991078741205,-3.87445519456613e-07
1.65540728429507e-05,0.00013576330926422115,0.0214,0.14333333333333334,0.9999973267377849,-1.160984580527636e-06
2.0840342970682355e-05,0.00017091588002199852,0.0214,0.14333333333333334,0.9999947250237816,-2.290899106039285e-06
2.6236437356297965e-05,0.000215170344638857,0.0214,0.14333333333333334,0.9999904345180645,-4.154255890110117e-06
3.302971770278929e-05,0.0002708834147303659,0.0214,0.14333333333333334,0.9999836007970514,-7.1221417470732504e-06
4.1581950960429096e-05,0.0003410220144376361,0.0214,0.14333333333333334,0.9999728327227473,-1.1798758869992454e-05
5.234857473606307e-05,0.00042932127995677746,0.0214,0.14333333333333334,0.9999557744696833,-1.9207328506057976e-05
6.590295100643595e-05,0.0005404834691615851,0.0214,0.14333333333333334,0.9999287806936866,-3.093125320114886e-05
8.296689973422821e-05,0.0006804283739821887,0.0214,0.14333333333333334,0.9998861598448344,-4.944296555825604e-05
0.00010444913841319864,0.0008566085709119626,0.0214,0.14333333333333334,0.9998189277530605,-7.864579817225449e-05
