k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
0.3728687154102288,3.0924128932691772,0.0234,0.14333333333333334,0.000642,0.02173119552299881,-1.6629163806854952
0.3859094164954227,3.2005668641078278,0.0234,0.14333333333333334,0.000642,0.020698326357674487,-1.6840647696644409
0.39954742494485596,3.3136746455454342,0.0234,0.14333333333333334,0.000642,0.01966460183502258,-1.7063148426741788
0.4138426931095952,3.4322334566185058,0.0234,0.14333333333333334,0.000642,0.018615791084226188,-1.730118503565163
0.4288670720146689,3.556839198852188,0.0234,0.14333333333333334,0.000642,0.017609227963024988,-1.754259684279629
0.44470764406366026,3.688214096280004,0.0234,0.14333333333333334,0.000642,0.016675188929539432,-1.7779292368362036
0.46147130365062994,3.8272446850707156,0.0234,0.14333333333333334,0.000642,0.015778000696314003,-1.8019480291093908
0.4792911862485509,3.9750351336250436,0.0234,0.14333333333333334,0.000642,0.014878586038152144,-1.8274383392878593
0.4983359073283955,4.132983866200346,0.0234,0.14333333333333334,0.000642,0.014000125839821409,-1.8538680606578746
0.5188231998086813,4.30289666605675,0.0234,0.14333333333333334,0.000642,0.013163045861799609,-1.8806436055612958
0.541040672084399,4.48715883362876,0.0234,0.14333333333333334,0.000642,0.012334599940366274,-1.9088749318255565
0.5653785467936979,4.689006707787368,0.0234,0.14333333333333334,0.000642,0.011512008887548754,-1.9388488837854982
0.5923834776752054,4.912973999728015,0.0234,0.14333333333333334,0.000642,0.010704258744123084,-1.9704434016514811
0.6228514221230333,5.165662038031825,0.0234,0.14333333333333334,0.000642,0.009891211961250429,-2.0047504914325933
0.6579973688342888,5.457147416837237,0.0234,0.14333333333333334,0.000642,0.009070438170742563,-2.0423717327261004
0.6997871157848257,5.803733619796412,0.0234,0.14333333333333334,0.000642,0.008225481327794252,-2.084838679166583
0.7516375448475314,6.233758796831287,0.0234,0.14333333333333334,0.000642,0.007339179227051833,-2.13435250644546
0.8200140010482511,6.800843741242689,0.0234,0.14333333333333334,0.000642,0.006381818832865598,-2.1950555287234463
0.9182054763872981,7.615201642021569,0.0234,0.14333333333333334,0.000642,0.005315051645152567,-2.2744925111791026
1.0733672812871071,8.902046974398637,0.0234,0.14333333333333334,0.000642,0.004119390594339381,-2.385167026950154
1.3205506692672362,10.952079772539735,0.0234,0.14333333333333334,0.000642,0.002925681986206353,-2.5337728822919314
1.6596301536389704,13.764259303773882,0.0234,0.14333333333333334,0.000642,0.0019966256327410355,-2.6997033577012663
1.0466277427837318e-05,8.664902056338295e-05,0.0234,0.14333333333333334,0.000856,1.0,0.0
1.3176262620792093e-05,0.00010908465389431814,0.0234,0.14333333333333334,0.000856,0.9999990100970204,-4.299096144385684e-07
1.658793184578878e-05,0.0001373294428243287,0.0234,0.14333333333333334,0.000856,0.9999975365169975,-1.0698783920534377e-06
2.088296892977322e-05,0.00017288752535908153,0.0234,0.14333333333333334,0.000856,0.999995065295285,-2.143120315368589e-06
2.629010025939955e-05,0.00021765249905675627,0.0234,0.14333333333333334,0.000856,0.9999911276674162,-3.85322217633281e-06
3.309727529517453e-05,0.0002740082620030565,0.0234,0.14333333333333334,0.000856,0.999984878694714,-6.567149096953664e-06
4.166700093024251e-05,0.000344955964077202,0.0234,0.14333333333333334,0.000856,0.9999750012090877,-1.0856972653639857e-05
5.24556463043335e-05,0.0004342738291267455,0.0234,0.14333333333333334,0.000856,0.9999593574353332,-1.7651200262662184e-05
6.603774612461224e-05,0.0005467183591648179,0.0234,0.14333333333333334,0.000856,0.9999346259130677,-2.839253329224418e-05
8.313659673388614e-05,0.0006882776354469998,0.0234,0.14333333333333334,0.000856,0.9998955530163032,-4.5363117732621435e-05
