ell,tau,EE,TE,TT
2043,0.02,1.3021084838755613e-18,-3.85765806940174e-18,5.103282620769667e-17
2044,0.02,1.2878900297477103e-18,-3.817856752707257e-18,5.097172152002827e-17
2045,0.02,1.2738567593958891e-18,-3.7776354072948585e-18,5.090842258239667e-17
2046,0.02,1.260011448953902e-18,-3.737010276423052e-18,5.084291519619599e-17
2047,0.02,1.2463568745555547e-18,-3.695997603350342e-18,5.0775185162820355e-17
2048,0.02,1.2328958123346528e-18,-3.6546136313352336e-18,5.0705218283663896e-17
2049,0.02,1.2196310384250013e-18,-3.612874603636232e-18,5.063300036012074e-17
2050,0.02,1.2065653289604054e-18,-3.570796763511846e-18,5.055851719358501e-17
2051,0.02,1.193701460074671e-18,-3.5283963542205776e-18,5.0481754585450834e-17
2052,0.02,1.1810422079016022e-18,-3.485689619020934e-18,5.040269833711234e-17
2053,0.02,1.1685903485750053e-18,-3.442692801171421e-18,5.032133424996363e-17
2054,0.02,1.1563486582286854e-18,-3.3994221439305443e-18,5.0237648125398864e-17
2055,0.02,1.1443199129964476e-18,-3.3558938905568094e-18,5.015162576481215e-17
2056,0.02,1.1325068890120972e-18,-3.312124284308722e-18,5.0063252969597606e-17
2057,0.02,1.1209123624094395e-18,-3.2681295684447875e-18,4.9972515541149384e-17
2058,0.02,1.1095391093222802e-18,-3.2239259862235114e-18,4.9879399280861586e-17
2059,0.02,1.098389905884424e-18,-3.1795297809033995e-18,4.9783889990128343e-17
2060,0.02,1.0874675282296763e-18,-3.1349571957429585e-18,4.968597347034378e-17
2061,0.02,1.0767747524918426e-18,-3.0902244740006925e-18,4.958563552290203e-17
2062,0.02,1.0663143548047282e-18,-3.045347858935108e-18,4.9482861949197213e-17
2063,0.02,1.0560891113021382e-18,-3.0003435938047106e-18,4.9377638550623456e-17
2064,0.02,1.0461017981178781e-18,-2.955227921868006e-18,4.926995112857489e-17
2065,0.02,1.0363545813177337e-18,-2.9100167290649826e-18,4.9159792171032215e-17
2066,0.02,1.026847186695413e-18,-2.86472447206156e-18,4.90471809123225e-17
2067,0.02,1.0175787299766052e-18,-2.8193652502051433e-18,4.89321432733594e-17
2068,0.02,1.0085483268869984e-18,-2.7739531628431337e-18,4.8814705175056544e-17
2069,0.02,9.997550931522817e-19,-2.7285023093229342e-18,4.869489253832761e-17
2070,0.02,9.911981444981438e-19,-2.6830267889919496e-18,4.8572731284086225e-17
2071,0.02,9.828765966502733e-19,-2.637540701197582e-18,4.8448247333246044e-17
2072,0.02,9.747895653343593e-19,-2.5920581452872342e-18,4.8321466606720716e-17
2073,0.02,9.669361662760902e-19,-2.5465932206083098e-18,4.8192415025423887e-17
2074,0.02,9.59315515201155e-19,-2.501160026508212e-18,4.8061118510269214e-17
2075,0.02,9.519267278352422e-19,-2.4557726623343443e-18,4.7927602982170327e-17
2076,0.02,9.447689199040408e-19,-2.410445227434109e-18,4.77918943620409e-17
2077,0.02,9.378412071332393e-19,-2.3651918211549094e-18,4.765401857079458e-17
2078,0.02,9.311427052485263e-19,-2.320026542844149e-18,4.751400152934498e-17
2079,0.02,9.246725299755911e-19,-2.2749634918492314e-18,4.737186915860579e-17
2080,0.02,9.184297970401218e-19,-2.2300167675175577e-18,4.722764737949064e-17
2081,0.02,9.124136221678079e-19,-2.185200469196533e-18,4.7081362112913183e-17
2082,0.02,9.066231210843373e-19,-2.14052869623356e-18,4.693303927978707e-17
2083,0.02,9.010574095153992e-19,-2.0960155479760412e-18,4.678270480102594e-17
2084,0.02,8.957156031866825e-19,-2.051675123771381e-18,4.663038459754345e-17
2085,0.02,8.905968178238757e-19,-2.0075215229669813e-18,4.6476104590253244e-17
2086,0.02,8.857001691526675e-19,-1.9635688449102455e-18,4.6319890700068985e-17
2087,0.02,8.810247728987466e-19,-1.919831188948577e-18,4.6161768847904303e-17
2088,0.02,8.76569744787802e-19,-1.8763226544293787e-18,4.600176495467285e-17
2089,0.02,8.723342005455222e-19,-1.8330573407000537e-18,4.5839904941288295e-17
2090,0.02,8.68317255897596e-19,-1.7900493471080055e-18,4.5676214728664254e-17
2091,0.02,8.645180265697123e-19,-1.747312773000637e-18,4.55107202377144e-17
2092,0.02,8.609356282875596e-19,-1.704861717725351e-18,4.534344738935237e-17
2093,0.02,8.575691767768269e-19,-1.662710280629551e-18,4.517442210449183e-17
2094,0.02,8.544177877632024e-19,-1.6208725610606405e-18,4.500367030404641e-17
2095,0.02,8.514805769723757e-19,-1.5793626583660216e-18,4.483121790892977e-17
2096,0.02,8.487566601300348e-19,-1.5381946718930984e-18,4.4657090840055545e-17
2097,0.02,8.462451529618689e-19,-1.4973827009892735e-18,4.4481315018337393e-17
2098,0.02,8.439451711935666e-19,-1.4569408450019503e-18,4.4303916364688965e-17
2099,0.02,8.418558305508165e-19,-1.4168832032785316e-18,4.4124920800023914e-17
2100,0.02,8.399762467593075e-19,-1.3772238751664207e-18,4.394435424525587e-17
2101,0.02,8.383055355447282e-19,-1.337976960013021e-18,4.3762242621298505e-17
2102,0.02,8.368428126327675e-19,-1.2991565571657358e-18,4.3578611849065453e-17
2103,0.02,8.355871937491141e-19,-1.260776765971967e-18,4.339348784947036e-17
2104,0.02,8.345373942568816e-19,-1.2228502074393143e-18,4.320689942136531e-17
2105,0.02,8.336905280688827e-19,-1.1853835892161577e-18,4.3018886875356076e-17
2106,0.02,8.330433087353554e-19,-1.1483821406110732e-18,4.282949339998685e-17
2107,0.02,8.325924498065372e-19,-1.1118510909326362e-18,4.263876218380183e-17
2108,0.02,8.32334664832666e-19,-1.0757956694894227e-18,4.24467364153452e-17
2109,0.02,8.322666673639795e-19,-1.0402211055900082e-18,4.225345928316118e-17
2110,0.02,8.323851709507155e-19,-1.005132628542969e-18,4.205897397579395e-17
2111,0.02,8.326868891431117e-19,-9.705354676568806e-19,4.186332368178771e-17
2112,0.02,8.331685354914055e-19,-9.364348522403183e-19,4.1666551589686667e-17
2113,0.02,8.338268235458353e-19,-9.028360116018587e-19,4.1468700888035e-17
2114,0.02,8.346584668566384e-19,-8.69744175050077e-19,4.126981476537692e-17
2115,0.02,8.356601789740524e-19,-8.371645718935493e-19,4.106993641025662e-17
2116,0.02,8.368286734483154e-19,-8.051024314408512e-19,4.086910901121829e-17
2117,0.02,8.3816066382966475e-19,-7.735629830005582e-19,4.066737575680613e-17
2118,0.02,8.396528636683387e-19,-7.425514558812467e-19,4.046477983556435e-17
2119,0.02,8.413019865145744e-19,-7.120730793914919e-19,4.0261364436037133e-17
2120,0.02,8.431047459186101e-19,-6.8213308283987e-19,4.005717274676867e-17
2121,0.02,8.450578554306833e-19,-6.527366955349565e-19,3.985224795630318e-17
2122,0.02,8.471580286010314e-19,-6.238891467853274e-19,3.964663325318484e-17
2123,0.02,8.494019789798929e-19,-5.955956658995582e-19,3.944037182595785e-17
2124,0.02,8.517864201175051e-19,-5.678614821862249e-19,3.9233506863166417e-17
