k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
0.008001173163975823,0.07309944785097046,0.0214,0.13,0.000856,0.826361181648275,-0.08283009201107763
0.010072880220294702,0.09202675248770924,0.0214,0.13,0.000856,0.7792733529290953,-0.10831017410563064
0.012681004879287831,0.11585481727166927,0.0214,0.13,0.000856,0.7230427269707336,-0.1408360380590831
0.01596443928960238,0.1458525735419016,0.0214,0.13,0.000856,0.6569214266979035,-0.18248657258968526
0.020098038182493953,0.1836175100724853,0.0214,0.13,0.000856,0.580807364877094,-0.23596788523977674
0.025301830234120658,0.23115982891865824,0.0214,0.13,0.000856,0.49643382505832595,-0.30413863503851957
0.03183851936658002,0.29087961707517196,0.0214,0.13,0.000856,0.4093651574353622,-0.38788912449106655
0.039587115156531474,0.3616714949982776,0.0214,0.13,0.000856,0.33376787615778075,-0.47655546477710214
0.04621607509718158,0.4222342776748792,0.0214,0.13,0.000856,0.2898205692658469,-0.5378707948426079
0.05100737523377323,0.46600803275995134,0.0214,0.13,0.000856,0.2663015447882768,-0.5746263142554695
0.05494299809910139,0.5019642422443849,0.0214,0.13,0.000856,0.25058071541401983,-0.6010523551756446
0.058449659380295886,0.5340014195685562,0.0214,0.13,0.000856,0.23842632230856198,-0.6226458000966123
0.06171627825918099,0.5638455476098249,0.0214,0.13,0.000856,0.22808198409123823,-0.6419090177429297
0.06484230424496927,0.5924052061556175,0.0214,0.13,0.000856,0.21868134676462128,-0.6601882601388013
0.06788713628502671,0.620223069407129,0.0214,0.13,0.000856,0.2097522575141054,-0.6782933562649702
0.07088967740755169,0.6476545589785091,0.0214,0.13,0.000856,0.20102942326707385,-0.6967403732892402
0.07387728163031311,0.674949583671184,0.0214,0.13,0.000856,0.19237541709887565,-0.7158504255436033
0.07687031808848126,0.7022942377620346,0.0214,0.13,0.000856,0.1837532333757523,-0.7357650102035368
0.07988470048430955,0.7298339102864124,0.0214,0.13,0.000856,0.17519088224298274,-0.756488500306073
0.08293338273567619,0.7576869494196407,0.0214,0.13,0.000856,0.16675706085071207,-0.7779157680646066
0.08602729040333411,0.7859531720813305,0.0214,0.13,0.000856,0.15856793783265893,-0.7997846217473334
0.08917592576122632,0.8147193919129726,0.0214,0.13,0.000856,0.15074451020970547,-0.8217584949692017
0.0923877747684464,0.8440631374108902,0.0214,0.13,0.000856,0.1434118689887734,-0.8434149042956851
0.09567058878352253,0.8740552256936351,0.0214,0.13,0.000856,0.13667367776584127,-0.8643151189493126
0.09903158424121299,0.9047615867674041,0.0214,0.13,0.000856,0.1306093266589829,-0.8840258094935168
0.10247758691999555,0.9362445815669818,0.0214,0.13,0.000856,0.12523999369571603,-0.9022569629164751
0.10601513775599443,0.9685639686814285,0.0214,0.13,0.000856,0.12054174367843498,-0.9188625306012629
0.10965057132520316,1.001777621374828,0.0214,0.13,0.000856,0.11642353598571081,-0.9339592145704498
0.11339007449407865,1.0359420634234637,0.0214,0.13,0.000856,0.11274812352090358,-0.9478906773994347
0.11723973043532807,1.0711128712480638,0.0214,0.13,0.000856,0.10933743298486553,-0.9612311266544015
0.12120555171237535,1.1073449761765033,0.0214,0.13,0.000856,0.10599337247449918,-0.9747212893365366
0.12529350515370719,1.1446928916980996,0.0214,0.13,0.000856,0.10254283617496113,-0.989094674821295
0.1295095305862031,1.1832108846130236,0.0214,0.13,0.000856,0.09884239493490003,-1.0050567402589232
0.13385955506213573,1.2229531050114726,0.0214,0.13,0.000856,0.09483772621892546,-1.0230188669925782
0.1383495039258624,1.2639736873799736,0.0214,0.13,0.000856,0.09055087305630079,-1.0431073580312487
0.14298530987610064,1.30632683339516,0.0214,0.13,0.000856,0.08609929164068438,-1.065000421575468
0.1477729210562709,1.3500668858378793,0.0214,0.13,0.000856,0.08166540114866588,-1.0879619002948393
0.15271830912674886,1.3952484023420266,0.0214,0.13,0.000856,0.07745753643923517,-1.110936319999823
0.15782747822360338,1.441926237242393,0.0214,0.13,0.000856,0.07366193294798337,-1.1327568890973327
0.16310647567769773,1.4901556395053512,0.0214,0.13,0.000856,0.07038577841894153,-1.1525150820241903
0.1685614053485071,1.5399923745478286,0.0214,0.13,0.000856,0.06762532882194099,-1.1698906101632698
0.1741984444140358,1.5914928776315216,0.0214,0.13,0.000856,0.06526062632448865,-1.1853487624824985
0.1800238644495855,1.6447144464404466,0.0214,0.13,0.000856,0.06309653508335554,-1.1999944891789358
0.18604405762385628,1.6997154804109076,0.0214,0.13,0.000856,0.06089946010672308,-1.2153865575101512
0.1922655688431229,1.7565557744036224,0.0214,0.13,0.000856,0.058486233634266034,-1.2329463452039853
0.19869513468730962,1.815296874427255,0.0214,0.13,0.000856,0.055807405535810393,-1.253308167192567
0.20533973001208278,1.8760025033993821,0.0214,0.13,0.000856,0.05296951408387277,-1.2759740110489344
0.21220662314711,1.9387390654428265,0.0214,0.13,0.000856,0.05016840985895949,-1.2995696641790198
0.21930344071314822,2.003576238060483,0.0214,0.13,0.000856,0.04760079751962952,-1.322385770904028
0.2266382432227721,2.0705876628304716,0.0214,0.13,0.000856,0.04539225618822868,-1.343018230437453
0.23421961283734966,2.1398517471618703,0.0214,0.13,0.000856,0.04353401948451762,-1.3611712326965788
0.24205675494586026,2.2114525923280612,0.0214,0.13,0.000856,0.0418796645347683,-1.3779968057726246
0.25015961563364536,2.2854810666719536,0.0214,0.13,0.000856,0.040229164737353926,-1.3954589844241132
0.25853901765210935,2.362036047837573,0.0214,0.13,0.000856,0.03844738300949756,-1.4151332158941237
0.2672068182241146,2.441225864494542,0.0214,0.13,0.000856,0.03653521735563061,-1.4372883046025962
0.27617609297832646,2.5231699767790388,0.0214,0.13,0.000856,0.034625749209570796,-1.460600820842666
0.2854613515728668,2.6080009462511584,0.0214,0.13,0.000856,0.03288615771799989,-1.4829868647158158
0.2950787922470359,2.6958667615026672,0.0214,0.13,0.000856,0.031381084070523486,-1.5033320576351823
0.30504660477475404,2.786933605967275,0.0214,0.13,0.000856,0.030037884935727257,-1.5223306506652452
0.31538533429280946,2.881389181888699,0.0214,0.13,0.000856,0.028718057745407886,-1.5418449355639725
0.3261183225430391,2.9794467415494728,0.0214,0.13,0.000856,0.027332943899439653,-1.5633135900260413
0.337272248644589,3.0813500278156427,0.0214,0.13,0.000856,0.025923304281136476,-1.5863096424772494
0.3488777992634299,3.1873793968665938,0.0214,0.13,0.000856,0.024591256233900457,-1.6092192849450784
0.3609705089758212,3.2978594958323093,0.0214,0.13,0.000856,0.02339739055967691,-1.6308325754413813
0.37359182727794155,3.4131690110906807,0.0214,0.13,0.000856,0.022285359854840366,-1.6519803487122158
0.3867904915039605,3.5337532113722454,0.0214,0.13,0.000856,0.021174742119544454,-1.6741818700995372
0.40062431876854077,3.6601403191103343,0.0214,0.13,0.000856,0.02005188627336573,-1.6978447672042947
0.4151625813157353,3.7929632118452647,0.0214,0.13,0.000856,0.01897609347704623,-1.7217931889574118
0.4304892090224083,3.9329886805877092,0.0214,0.13,0.000856,0.017973370392020373,-1.7453704757343114
0.44670718869918774,4.08115762223348,0.0214,0.13,0.000856,0.01700774695896547,-1.7693532142002757
0.4639447349958541,4.238641417518036,0.0214,0.13,0.000856,0.01604225005619815,-1.7947347184422289
0.48236415228123897,4.406922893959573,0.0214,0.13,0.000856,0.015100065851517108,-1.8210211587407283
0.5021749054241774,4.58791574170605,0.0214,0.13,0.000856,0.014199635752522408,-1.8477227959478233
0.5236534975533195,4.784146118561974,0.0214,0.13,0.000856,0.01330841861029766,-1.875873547051555
0.5471747880818402,4.999038774318815,0.0214,0.13,0.000856,0.012423827551032442,-1.9057445854632389
0.5732634118319837,5.2373868205670195,0.0214,0.13,0.000856,0.011554066694990837,-1.9372651298547678
0.6026823873997487,5.5061612647981715,0.0214,0.13,0.000856,0.01067833017001519,-1.9714966550459256
0.6365947798865558,5.815987975867524,0.0214,0.13,0.000856,0.00979358789237353,-2.009058174754565
0.6768790953659378,6.184029156610308,0.0214,0.13,0.000856,0.008881961113196878,-2.0514911325765497
0.726793535598264,6.640052035505263,0.0214,0.13,0.000856,0.0079247180776568,-2.101016178888862
0.7924883377108126,7.240245739939452,0.0214,0.13,0.000856,0.006889425090460275,-2.1618170176363614
0.8865822557704172,8.09989635808377,0.0214,0.13,0.000856,0.005734260907941693,-2.2415225506114544
1.0349477381346535,9.455376938081544,0.0214,0.13,0.000856,0.0044394073192871465,-2.3526750062692194
1.271850990743472,11.619746662983044,0.0214,0.13,0.000856,0.003151050695247667,-2.5015446096824863
1.5981618629436243,14.600952555763268,0.0214,0.13,0.000856,0.0021517789288794773,-2.6672023495946613
1.0079035256210499e-05,9.190330314772042e-05,0.0214,0.13,0.00107,1.0,0.0
1.2688753610412733e-05,0.00011569940376048812,0.0214,0.13,0.00107,0.9999990753260898,-4.015809624336172e-07
1.5974194364143578e-05,0.00014565691952351216,0.0214,0.13,0.00107,0.9999973554792592,-1.148502283643252e-06
2.0110319217959516e-05,0.00018337119739180737,0.0214,0.13,0.00107,0.9999948699909612,-2.2279403323420244e-06
2.5317391902781838e-05,0.00023085066018767062,0.0214,0.13,0.00107,0.9999907640869538,-4.011124594550411e-06
3.187270802676394e-05,0.0002906237624397186,0.0214,0.13,0.00107,0.9999842873684706,-6.82396278076201e-06
4.012536207758906e-05,0.000365873639806593,0.0214,0.13,0.00107,0.9999740200610251,-1.1283090704624013e-05
5.051483797691887e-05,0.000460607622658146,0.0214,0.13,0.00107,0.9999577593202448,-1.834528159084603e-05
6.359441320180823e-05,0.0005798706410304389,0.0214,0.13,0.00107,0.999932060128099,-2.9506913827146693e-05
8.006062282789487e-05,0.000730013885546593,0.0214,0.13,0.00107,0.9998914512713761,-4.714467265239298e-05
0.00010079035256210506,0.0009190330314772048,0.0214,0.13,0.00107,0.9998273929037065,-7.496877971545476e-05
0.0001268875361041274,0.001156994037604882,0.0214,0.13,0.00107,0.999726623579838,-0.00011874210214384203
0.00015974194364143585,0.0014565691952351221,0.0214,0.13,0.00107,0.999568772375648,-0.0001873201694195665
0.00020110319217959526,0.0018337119739180747,0.0214,0.13,0.00107,0.999323135640887,-0.00029405798607545975
0.00025317391902781857,0.002308506601876708,0.0214,0.13,0.00107,0.9989446548224566,-0.00045857260588825024
0.00031872708026763963,0.0029062376243971884,0.0214,0.13,0.00107,0.9983699726965911,-0.00070848944879368
0.0004012536207758908,0.003658736398065932,0.0214,0.13,0.00107,0.9975150034601933,-0.0010805634397417713
0.0005051483797691889,0.004606076226581462,0.0214,0.13,0.00107,0.9962755941911805,-0.001620508483439322
0.0006359441320180826,0.005798706410304391,0.0214,0.13,0.00107,0.9945267935077323,-0.0023835120711581037
0.000800606228278949,0.007300138855465934,0.0214,0.13,0.00107,0.9921029281144569,-0.003443268578433527
0.0010079035256210507,0.009190330314772049,0.0214,0.13,0.00107,0.9887446492685332,-0.004915853733900835
0.0012688753610412744,0.011569940376048823,0.0214,0.13,0.00107,0.984075418038397,-0.006971616626803478
0.001597419436414359,0.014565691952351226,0.0214,0.13,0.00107,0.9776459779808849,-0.009818382066905466
0.0020110319217959533,0.018337119739180754,0.0214,0.13,0.00107,0.9689295264087034,-0.013707809538340634
0.0025317391902781863,0.023085066018767086,0.0214,0.13,0.00107,0.95727568952704,-0.01896297006240361
0.0031872708026763974,0.029062376243971892,0.0214,0.13,0.00107,0.9419368438608274,-0.025978215341141416
0.00401253620775891,0.036587363980659336,0.0214,0.13,0.00107,0.9220836104148966,-0.035229697280985156
0.0050514837976918915,0.04606076226581464,0.0214,0.13,0.00107,0.8968198828083618,-0.04729477184680857
0.006359441320180828,0.05798706410304393,0.0214,0.13,0.00107,0.8652228208153977,-0.06287203428207389
0.008006062282789493,0.07300138855465936,0.0214,0.13,0.00107,0.826361181648275,-0.08283009201107763
0.010079035256210513,0.09190330314772055,0.0214,0.13,0.00107,0.7792733529290953,-0.10831017410563064
0.01268875361041275,0.11569940376048829,0.0214,0.13,0.00107,0.7230427269707336,-0.1408360380590831
0.015974194364124235,0.1456569195233358,0.0214,0.13,0.00107,0.6569214266979035,-0.18248657258968526
0.02011031909134236,0.18337119623727874,0.0214,0.13,0.00107,0.580807364877094,-0.23596788523977674
0.025317289543411413,0.23084972684792024,0.0214,0.13,0.00107,0.49643382505832595,-0.30413863503851957
